Class 1,Sub class 2,Sub class 3,Synonym,Definition
Aesthetic,,,,Sports where athletes are judged by an external person on the aesthetics of their performance.
Aesthetic,Pilates,,,"Gentle gymnastics combining deep breathing and slow movements, aimed at strengthening postural muscles to develop the body in a harmonious way."
Aesthetic,Yoga,,,"Spiritual and physical discipline derived from this method, aimed at freeing the mind from the body's constraints through the mastery of movement, rhythm, and breath."
Aesthetic,Yoga,Yoga ashtanga,,"Dynamic and demanding form of yoga that synchronizes breathing with a progressive series of postures. Ashtanga Is organised around six series of progressively demanding postures. These series are designed not only to strengthen the body but also to increase flexibility. Mysore practice, the hallmark of this discipline, emphasises students' independence while following a traditional pattern of movement."
Aesthetic,Bodybuilding,,,Physical and sports activity aimed at developing muscle mass for aesthetic purposes.
Aesthetic,Cheerleading,,Cheer/pom,"Activity of leading the crowd in shouting encouragement and supporting a team at a sports event. The activity involves chanting, gymnastics, dance and teamwork."
Aesthetic,Dance,,,The activity of moving your feet and body to music.
Aesthetic,Dance,Dance ballet,,"A type of dancing where carefully organized movements tell a story or express an idea, or a theatre work that uses this type of dancing: Dancers often wear elaborate costumes and pointe shoes, which allow them to dance on the tips of their toes."
Aesthetic,Dance,Dance contemporary,,"This dance is created based on classical dance, with added improvisation and freedom of movement for the dancer. It involves a strong connection to the floor and features an abstract form of storytelling."
Aesthetic,Dance,Dance flamenco,,"Spanish folk dance. It is a solo dance style characterized by its fusion with singing, hand clapping, and percussive footwork (similar to tap dancing). This dance can be accompanied by castanets. There is a traditional costume. For women, it consists of high-heeled shoes, a long, colorful dress (often red and black or white with polka dots) adorned with ruffles, as well as a fringed shawl. For men, it involves a short Andalusian suit."
Aesthetic,Dance,Dance spanish folk,,"Traditional folk dance, originating in rural or village contexts, passed down orally, resulting in variations depending on the region or performers."
Aesthetic,Dance,Dance jazz/modern,,"Dance that emphasizes torso mobility, parallel feet, stylistic individuality, and improvisation, combining sensuality, acrobatics, and dynamic expressiveness."
Aesthetic,Dance,Dance tap,,Type of dance in which the rhythm is kept by the noise of the dancer's shoes on the floor.
Aesthetic,Dance,Dance neoclassic,,Choreographic composition design in which dance takes precedence over music and scenery.
Aesthetic,Dance,Dance hip hop,,"Hip-hop culture brings together graffiti, DJing, rap, and urban dances such as breakdance, locking, and popping."
Aesthetic,Dance,Dance Kathak,,"A rhythmic and energetic dance form from northern India. It represents a fusion of Hindu and Muslim cultures, characterized by powerful footwork."
Aesthetic,Dance,Dance Irish,,"Traditional dance style from Ireland, characterized by quick footwork and a stiff upper body."
Aesthetic,Dance,Dance African,,"Dance combining rhythm and movement. Characterized by rites, magic, enchantment, exorcism, and the expression of freedom, morality, and various emotions. In Africa, no dance is performed without a specific purpose."
Aesthetic,Dance,Dance musical theater,,"It is a blend of dance, theatre, and music, featuring narrative and scenic interpretation."
Aesthetic,Dance,Urban dance,,"It is a street dance practiced in the form of duels called battles, where dancers compete by performing sequences of footwork and floor moves."
Aesthetic,Dance,Dance classical,,"Dance based on the principle of turnout and the five positions of the feet and arms, which was taught in the classes of the Royal Academy of Dance."
Aesthetic,Diving,,,"Sport in which divers are required to perform acrobatic figures at a height of 1, 3 or 10m. Can be practised individually or in synchronised pairs. Judged on both difficulty and quality of execution in space. These figures are classified in order of difficulty."
Aesthetic,Drill team,,Dance/drill team,"A group trained, esp. for exhibition purposes, in precision marching, the manual of arms, etc
Also called: drill corps"
Aesthetic,Figure skating,,,"Disciplines that consist of two segments: the short program and the free skate. The short program includes required elements (jumps, spins, steps) and demands clean execution. The free skate is longer, allowing more elements but no credit for extras beyond the limit. Both programs are scored technically and artistically, and the combined scores determine the final ranking."
Aesthetic,Figure skating,Figure skating pairs,,"The discipline of ice dance pairs stands out from ice dancing by many overhead lifts held at arm’s length above the boy’s head, the famous 'death spiral,' and throw jumps."
Aesthetic,Figure skating,Figure skating synchronized,,"Team sport with 8 to 20 skaters. The goal is to perform figures such as blocks, wheels, and intersections in a perfectly synchronized, smooth, and harmonious way to the rhythm of music."
Aesthetic,Figure skating,Figure skating ice dancing,,"It is a discipline close to pair figure skating. The skaters should not give the impression of skating but of dancing on ice, often in synchronization with their partner."
Aesthetic,Figure skating,Roller-skate figure skating,,"A sport discipline performed with quad roller skates on a smooth and flat surface measuring at least 20 x 40 meters (parquet, smooth concrete, terrazzo, etc.). It can be practiced individually or in pairs. This is a technical and acrobatic discipline that requires speed, power, precision, and artistic expression. Athletes can compete in compulsory figures or free skating.
Each event is judged separately. An athlete participating in both events will also receive a combined ranking."
Aesthetic,Fitness,,Gym workouts,"A set of fitness activities including strength training, stretching, and cardio training. It can be practiced using machines."
Aesthetic,Fitness,Aerobic classes,,"A discipline combining fitness and acrobatics. It allows you to demonstrate your ability to perform a series of dynamic movements to music. A truly creative discipline, it requires you to capture the audience's attention and harmoniously combine dance elements with elements of difficulty. Movements can be performed individually, in duets, trios or groups (5 gymnasts)."
Aesthetic,Fitness,Aerobics,,"Aerobic exercise is a type of sustained exercise that mainly depends on energy generation via aerobic metabolism and provides cardiovascular conditioning, like running, swimming, and cycling."
Aesthetic,Gymnastics,,,"A set of physical exercises, performed with or without apparatus and light equipment, aimed at stretching, developing, or rehabilitating the body."
Aesthetic,Gymnastics,Gymnastics tumbling,,"A discipline in which gymnasts perform a series of acrobatics on a dynamic track. The Tumbling track is 25 meters long and 2 meters wide. Gymnasts must perform a sequence of 8 consecutive acrobatic moves, ending with a ""dismount."" The landing area measures 6 meters by 4 meters."
Aesthetic,Gymnastics,Rythmic gymnastics,,"Sport practised to music using apparatus: hoop, ball, clubs, ribbon and rope. In competition, it can be practised either individually or in a group of 5 gymnasts. It is a complete discipline combining flexibility, grace and skill."
Aesthetic,Gymnastics,Trampoline gymnastics,,"An acrobatic discipline that can be practiced individually or in pairs (called synchronized). Gymnasts perform on a trampoline measuring 4 meters by 2 meters, positioned 1.15 meters above the ground. 120 springs surrounding the trampoline allow the gymnasts to reach a height of up to 8 meters. The exercises consist of 10 trampoline touches, during which gymnasts can perform numerous acrobatic moves (jumps, flips, twists, etc.). These acrobatics must be performed in succession."
Aesthetic,Gymnastics,Acrobatic gymnastic,,"A sport that combines acrobatics and choreography performed individually and collectively, to music. Pyramids are the special feature of this discipline. It requires strength, flexibility, agility and acrobatic skills. The exercises are performed on a platform similar to that used in artistic gymnastics."
Aesthetic,Gymnastics,Aerobic gymnastic,,"A discipline combining fitness and acrobatics. It requires strength, endurance, and flexibility. Gymnasts perform to music lasting 1 minute 30 seconds on a surface of 7 x 7 meters for individuals, and 10 x 10 meters for groups. The movements can be performed individually, in pairs, in trios, or in groups (5 gymnasts)."
Aesthetic,Gymnastics,Artistic gymnastic,,"A discipline for women practiced on 4 apparatus: the vault, the uneven bars, the balance beam, and the floor. The combination of these 4 apparatuses makes it a very complete discipline. For men, it is practiced on 6 apparatus: the floor, the pommel horse, the rings, the vault, the parallel bars, and the high bar."
Aesthetic,Ornamental jumping,,,"Show jumping consists of a rider and his horse completing a series of obstacles in the allotted time, without knocking over any bars. The type of obstacle, the angles and the turns are varied, and it's up to the rider to adapt by modifying the speed, amplitude, impulsion and trajectory of his horse to make the course a success."
Aesthetic,Artistic swimming,,Synchronized swimming,"A form of water ballet involving a series of figures that are judged and scored. An aquatic choreography is performed by a solo swimmer, a duo, or a team of up to eight swimmers, set to musical accompaniment, with the figures evaluated by official judges."
Aesthetic,Circus,,,"A set of exercises involving skill, strength, tricks, and training performed as a show."
Aesthetic,Circus,Circus acrobatic,Floor acrobatics,It is a mix of acrobatics and choreographies performed individually and collectively to music. It is a physical activity similar to acrobatic gymnastics.
Aesthetic,Circus,Circus object manipulation,,"Artistic and physical practice that involves skillfully manipulating objects such as balls, clubs, or rings. It requires coordination, dexterity, and concentration, and is often performed solo or in groups as part of circus acts or street performances."
Aesthetic,Circus,Circus equilibrium,,"The exercises of balance artists consist either in keeping their body still while positioned unstably, or in maintaining stable objects stacked in an apparently fragile manner. Includes events such as Rolla Bolla, balance ball, stilts, unicycles, slackline, and tightrope."
Antigravitation,,,,Sports in which a high strength-to-mass ratio has typically been seen to enhance performance
Antigravitation,Canoing,,Canoeing-kayaking,"Sport practised from a boat propelled by a paddle, in calm water, at sea and in white water."
Antigravitation,Rock climbing,,,"The sport of climbing on rocks or in mountains, or on specially designed walls inside or outdoors."
Antigravitation,Kayaking,,,"Sport practised in a boat propelled by a double paddle. A kayak for flatwater racing is propelled by one, two or four paddlers. In slalom and downriver racing, it is used by a single paddler."
Antigravitation,Surf,,,The sport of balancing on a board carried by a breaking wave.
Ball game,,,,"Disciplines in which participants interact primarily with a game object designed to be thrown, hit, caught or manipulated according to precise rules. The object may be a ball, disc, spinner or any other object designed for this purpose."
Ball game,Ultimate frisbee,,Frisbee,Discipline played with two teams of seven players each and a disc (Frisbee). The players pass the disc back and forth across the field to land it in the opponent's goal.
