CLASS;sub-class 1;sub-class 2;sub-class 3;sub-class 4;sub-class 5;Synonym;Modification proposée;NB DE RELATIONS POSITIVE (Facteurs de risque);NB DE RELATIONS NEGATIVES (Facteurs protecteurs);NB DE RELATIONS NS;Relations Flous;DOI Distincts;Définition;Outils;Autres outils utilisés pour ces variables
DEAB;;;;;;;;;;;;;Defined by attitudes and behaviors linked to restrictive eating, emotional eating or overeating and include forms of disordered eating and eating disorders (Bourbeau et al., 2025);;
DEAB;Behavioral dimension of body image;;;;;;;;;;;;Refers to individuals' decisions and actions that are informed by their perceptions, cognitions, and emotions related to their appearance and function. Leading to two negatively-valenced components (i.e., appearance fixing and avoidance) and one positively-valenced component (i.e., positive rational acceptance) such as body-checking, body-avoidance, body-compassion, body-gratitude, etc.. (Cash, 2012);;
DEAB;Behavioral dimension of body image;Appearance fixing behaviors;;;;;;;;;;;"""Appearance fixing is defined broadly as any efforts to correct of camouflage facets of one's physical appearance that are believed by the individual to be flawed, or are perceived as not conforming to the cutural ideal"" (Cash, 2012)";;
DEAB;Behavioral dimension of body image;Appearance fixing behaviors;Muscle building behaviors;;;;;;;;;;"""Set of practices including excessive exercise, dietary manipulation, and supplement use to enhance muscularity, often driven by body dissatisfaction"" (Tod & Lavallee, 2010)";;
DEAB;Behavioral dimension of body image;Body checking and avoidance;;;;;;;;;;;"""Body avoidance refers to behaviours that help to avoid circumstances in which shape or weight may be visible (e.g., refusal to be weighed, wearing baggy clothes""; Rosen, Srebnik, Saltzberg, & Wendt, 1991)";;
DEAB;Behavioral dimension of body image;Body checking and avoidance;Body checking;;;;;;;;;;"Repetitive behaviors such as scrutinizing or avoiding one’s reflection, often seen in individuals with body dysmorphia or eating disorders (Fairburn et al., 2003; Walker et al., 2018).";;
DEAB;Behavioral dimension of body image;Body checking and avoidance;Body dysmorphic disorder;;;;;;;;;;"""Preoccupation with a perceived or imagined defect in physical appearance causing marked impairment in functioning""(American Psychiatric Association, 2013)";;
DEAB;Behavioral dimension of body image;Body checking and avoidance;Muscle checking;;;;;;;;;;"""Repetitive behaviors aimed at assessing muscle size and definition, commonly observed in individuals with muscle dysmorphia"" (Olivardia et al., 2000; Pope et al., 2005).";;
DEAB;Behavioral dimension of body image;Drive for leanness;;;;;;;;;;;"""Refers to a motivating interest in having relatively low body fat and toned, physically fit muscles"" (Smolak & Murnen, 2008)";;
DEAB;Behavioral dimension of body image;Drive for leanness;Drive for leanness for performance;;;;;;;;;;Refers to a motivating interest in having relatively low body fat and toned, physically fit muscles, specifically in the context of performance (Smolak & Murnen, 2008);;
DEAB;Behavioral dimension of body image;Drive for muscularity;;;;;;;;;;;"""Describe an individual's motivation to become more muscular"" (Chaba et al., 2019)";;
DEAB;Behavioral dimension of body image;Drive for muscularity;Drive for muscularity thoughts;;;;;;;;;;"""Refers to different thoughts and desires towards having a muscular body"" (Bashir et al., 2021)";;
DEAB;Behavioral dimension of body image;Drive for muscularity;Drive for muscularity-oriented behavior;;;;;;;;;;"""Represents behaviors in which men engage in order to become bigger and more muscular (DaCunha et al., 2022)";;
DEAB;Behavioral dimension of body image;Drive for size;;;;;;;;;;;It refers to the desire to increase muscle volume and overall muscularity, reflecting a core motivational component of muscle dysmorphia (Cuadrado et al., 2021);;
DEAB;Behavioral dimension of body image;Drive for thinness;;;;;;;;;;;"""Assess an extreme desire to be thinner, concern with dieting,
preoccupation with weight and an intense fear of weight gain"" (Garner et al., 2004)";;
DEAB;Behavioral dimension of body image;Weight Control;;;;;;;;;;;"""The term “weight control behavior” refers to a spectrum of modest to extreme behaviors aimed at influencing one's shape and weight. These strategies range from (1) moderate dieting and exercising to (2) unhealthy practices, such as skipping meals, using food substrates, fasting, smoking more cigarettes, and finally (3) extreme (harmful) behavior, such as abuse of laxatives and diuretics, intake of diet pills, and vomiting"" (Hebebrand & Herpertz-Dahlmann, 2009)";;
DEAB;Behavioral dimension of body image;Weight Control;Extreme weight control behavior;;;;;;;;;;Refers to severely, restricted eating, fasting, and purging (Boudreault et al., 2022) and includes induced vomiting and drug use, as well as fasting and using a food substitute for weight loss (Jeong, 2023);;
DEAB;Behavioral dimension of body image;Weight Control;Weight and diet preoccupation;;;;;;;;;;Assessing preoccupation with weight, eating, and dieting (Von Ranson et al., 2005);;
DEAB;Behavioral dimension of body image;Weight Control;Weight preoccupation;;;;;;;;;;"""Weight Preoccupation (preoccupation with dieting, weight, and the pursuit of thinness)"" (Klump et al., 2000)";;
DEAB;Eating psychopathology;;;;;"Eating pathology ; eating pathology symptoms";;;;;;;Eating psychopathology refers to the core psychological disturbance underlying eating disorders, characterized by the over-evaluation of eating, shape, and weight in the individual’s self-worth (Shanmugam et al., 2011);;
DEAB;Eating related control;;;;;;;;;;;;"""Assess characteristics more directly related to anorexia nervosa"" (Maiano et al., 2015)";Eating Attitudes Test (EAT-18);
DEAB;Emotional eating;;;;;;;;;;;;"Refers to the ""propensity to overeat in relation to negative mood states"" (Mathisen et al., 2019)";The Three Factor Eating Questionnaire (TFE-Q);Dutch Eating Behavior Questionnaire (DEBQ)
DEAB;Emotional eating;Emotional ingestion;;;;;;;;;;;"""Overeating in response to emotions"" (Fernandes et al., 2023)";The Dutch Eating Behavior Questionnaire Portuguese version;
DEAB;Exercise-Related Behaviors;;;;;;;;;;;;"""Refers to the actions undertaken by individuals to engage in physical activity, motivated by various reasons such as achieving personal fitness goals or avoiding negative consequences"" (Behavioral addictions, 2014)";;
DEAB;Exercise-Related Behaviors;Functional impairment;;;;;;;;;;;"""Behaviors related to maintaining exercise routines, interference of negative emotions when deviating from exercise routines, or avoidance of social situations because of negative feelings and preoccupation with one's body"" (Hildebrandt et al., 2004)";Muscle Dysmorphia Disorder Inventory (MDDI);
DEAB;External eating behavior;;;;;;;;;;;;"""Refers to behavior characterized by food intake that is influenced by external stimuli, such as the appearance, taste, and aroma of food; the eating environment; and the presence of others, often disregarding internal signals like hunger"" (Ryu & Heo, 2025)";;
DEAB;External eating behavior;External ingestion;;;;;;;;;;;"""Eating in response to food-related stimuli"" (Fernandes et al., 2023)";The Dutch Eating Behavior Questionnaire Portuguese version;
DEAB;Generic disturbed eating attitudes and behaviors;;;;;;;;;;;;"""Refers to the core symptoms of both anorexia nervosa and bulimia nervosa. This generic measure was obtained by combining the fear of getting fat, the food preoccupation and the eating-related guilt subscales"" (Maiano et al., 2015)";Eating Attitudes Test (EAT-18);
DEAB;Muscle Dysmorphia;;;;;;;;;;;;"""Subtype of body dysmorphic disorder characterized by the preoccupation with the idea that one's body is not sufficiently lean and muscular"" (Cerea et al., 2018)";Muscle Appearance Satisfaction Scale (MASS);Muscle Dysmorphic Disorder Inventory (MDDI)
DEAB;Muscle Dysmorphia;Degree of muscle dysmorphia/bigorexia nervosa;;;;;;;;;;;It is a body dysmorphic disorder characterized by a distorted perception of insufficient muscularity, leading to obsessive behaviors such as excessive training, rigid dieting, and compulsive efforts to increase muscle mass, often impairing daily functioning and well-being (Button et al., 2024);Adonis Complex Questionnaire (ACQ);
DEAB;Muscle Dysmorphia;Muscle dysmorphic tendencies;;;;;;;;;;;"""Refers to the different behavioural acts in order to increase the muscles of the body and the different thoughts and desires toward having a muscular body"" (Bashir et al., 2021)";Body Dysmorphic Disorder Modification factor of the Yale-Brown Obsessive Compulsive Scale (BDD-Y-BOCS) - Avoidance and psychological symptoms;
DEAB;Muscle Dysmorphia;Muscle dysmorphic tendencies (avoidance and psychological symptoms);;;;;;;;;;;"Refers to preoccupation, interference, and distress due to thoughts as well as time spent, distress, and interference due to repetitive behaviors ; it additionally included control over thoughts (Philips et al., 2014)";Body Dysmorphic Disorder Modification factor of the Yale-Brown Obsessive Compulsive Scale (BDD-Y-BOCS) - Avoidance and psychological symptoms;
